step,time_s,theta_hat_rad,theta_hat_deg,label_main,label_turn,conf_main,truth_main,truth_turn,theta_truth_rad
530,5.29,0,0,1,1,0.999985575675964,1,1,0
531,5.3,0,0,1,1,0.999988913536072,1,1,0
532,5.31,0,0,1,1,0.999985933303833,1,1,0
533,5.32,0,0,1,1,0.999984383583069,1,1,0
534,5.33,0,0,1,1,0.999984622001648,1,1,0
535,5.34,0,0,1,1,0.999988317489624,1,1,0
536,5.35,0,0,1,1,0.999990701675415,1,1,0
537,5.36,0,0,1,1,0.99998676776886,1,1,0
538,5.37,0,0,1,1,0.999985337257385,1,1,0
539,5.38,0,0,1,1,0.999985098838806,1,1,0
540,5.39,0,0,1,1,0.999988436698914,1,1,0
541,5.4,0,0,1,1,0.999989867210388,1,1,0
542,5.41,0,0,1,1,0.999986290931702,1,1,0
543,5.42,0,0,1,1,0.999983668327332,1,1,0
544,5.43,0,0,1,1,0.999983906745911,1,1,0
545,5.44,0,0,1,1,0.99998664855957,1,1,0
546,5.45,0,0,1,1,0.999986410140991,1,1,0
547,5.46,0,0,1,1,0.999982714653015,1,1,0
548,5.47,0,0,1,1,0.999981284141541,1,1,0
