t,main,turn,theta,pm1,pm2,pm3,ptm,pt0,ptp,confm,conft,thg,thref,wref
46.6,1,0,0.00414550211280584,1,2.43079334438789e-08,5.94995732683401e-08,0.000358625751687214,0.999549210071564,9.21376777114347e-05,1,0.999549210071564,0,0,0
46.8,1,0,0.00414550025016069,1,2.43079334438789e-08,5.94994595815024e-08,0.000358625751687214,0.999549210071564,9.2137765022926e-05,1,0.999549210071564,0,0,0
47,1,0,0.00414550397545099,1,2.43078872586011e-08,5.94994595815024e-08,0.000358625431545079,0.999549210071564,9.21375903999433e-05,1,0.999549210071564,0,0,0
47.2,1,0,0.00414549745619297,1,2.43079334438789e-08,5.94994595815024e-08,0.000358625256922096,0.999549210071564,9.21375030884519e-05,1,0.999549210071564,0,0,0
47.4,1,0,0.00414549931883812,1,2.43079334438789e-08,5.94994595815024e-08,0.000358625431545079,0.999549210071564,9.21376777114347e-05,1,0.999549210071564,0,0,0
47.6,1,0,0.0041454927995801,1,2.43079334438789e-08,5.94994595815024e-08,0.000358625751687214,0.999549210071564,9.21376777114347e-05,1,0.999549210071564,0,0,0
47.8,1,0,0.00414549745619297,1,2.43079334438789e-08,5.94994595815024e-08,0.000358625751687214,0.999549210071564,9.21376777114347e-05,1,0.999549210071564,0,0,0
48,1,0,0.00414549186825752,1,2.43079334438789e-08,5.94994595815024e-08,0.000358625606168061,0.999549210071564,9.2137765022926e-05,1,0.999549210071564,0,0,0
48.2,1,0,0.00414549000561237,1,2.43079334438789e-08,5.94994595815024e-08,0.000358625256922096,0.999549210071564,9.2137765022926e-05,1,0.999549210071564,0,0,0
48.4,1,0,0.00414549559354782,1,2.43079334438789e-08,5.94993458946647e-08,0.000358625606168061,0.999549210071564,9.21376777114347e-05,1,0.999549210071564,0,0,0
48.6,1,0,0.00414549838751554,1,2.43079334438789e-08,5.94994595815024e-08,0.000358625431545079,0.999549210071564,9.2137765022926e-05,1,0.999549210071564,0,0,0
48.8,1,0,0.00414549559354782,1,2.43079334438789e-08,5.94994595815024e-08,0.000358625926310197,0.999549210071564,9.2137765022926e-05,1,0.999549210071564,0,0,0
49,1,0,0.0041454927995801,1,2.43079334438789e-08,5.94994595815024e-08,0.000358625256922096,0.999549210071564,9.2137859610375e-05,1,0.999549210071564,0,0,0
