step,time_s,theta_hat_rad,theta_hat_deg,label_main,label_turn,conf_main,buffer_count,truth_main,truth_turn,theta_truth_rad
410,4.09,0,0,1,0,0.990584135055542,128,1,0,0
411,4.1,0,0,1,0,0.990584373474121,128,1,0,0
412,4.11,0,0,1,0,0.990584790706635,128,1,0,0
413,4.12,0,0,1,0,0.990585148334503,128,1,0,0
414,4.13,0,0,1,0,0.990585505962372,128,1,0,0
415,4.14,0,0,1,0,0.99058586359024,128,1,0,0
416,4.15,0,0,1,0,0.990586340427399,128,1,0,0
417,4.16,0,0,1,0,0.990586578845978,128,1,0,0
418,4.17,0,0,1,0,0.990587055683136,128,1,0,0
419,4.18,0,0,1,0,0.990587413311005,128,1,0,0
420,4.19,0,0,1,0,0.990587711334229,128,1,0,0
