run_idx,segment_idx,ref_segment_idx,theta_true_deg,repeat_idx,variant_idx,v_ref,omega_ref,segment_duration,noise_variant,t0,t1,n_windows,theta_pred_median_deg,theta_pred_mean_deg,theta_pred_std_deg,error_median_deg,error_mean_deg,label_main_mode,conf_main_median
1,97,97,-0.4,1,1,0.9,0,5,clean,480,484.99,11,-0.358693947648125,-0.359004726106347,0.00231849227633454,0.0413060523518748,0.0409952738936527,1,0.999986171722412
1,98,98,-0.3,1,1,0.9,0,5,clean,485,489.99,11,-0.291441023594124,-0.29121284288519,0.003404794976648,0.00855897640587644,0.00878715711481048,1,0.999978303909302
1,99,99,-0.2,1,1,0.9,0,5,clean,490,494.99,11,-0.224613598981073,-0.224342163237137,0.00319758005655294,-0.0246135989810725,-0.0243421632371373,1,0.999967455863953
1,100,100,-0.1,1,1,0.9,0,5,clean,495,499.99,11,-0.156034937877214,-0.155773164085892,0.00308674428303637,-0.056034937877214,-0.055773164085892,1,0.999951362609863
1,101,101,0,1,1,0.9,0,5,clean,500,504.99,11,-0.0815527921952828,-0.0814153006813299,0.00241051571459496,-0.0815527921952828,-0.0814153006813299,1,0.999929070472717
1,102,102,0.1,1,1,0.9,0,5,clean,505,509.99,11,-0.00425580816251296,-0.00402110772755305,0.00214834978207047,-0.104255808162513,-0.104021107727553,1,0.999898433685303
1,103,103,0.2,1,1,0.9,0,5,clean,510,514.99,11,0.0847805635062163,0.0846774169775785,0.00325241586762461,-0.115219436493784,-0.115322583022421,1,0.999858856201172
1,104,104,0.3,1,1,0.9,0,5,clean,515,519.99,11,0.18468365942273,0.18484961167522,0.00390711513015495,-0.11531634057727,-0.11515038832478,1,0.99982362985611
1,105,105,0.4,1,1,0.9,0,5,clean,520,524.99,11,0.290186349860104,0.290517405442425,0.00388984912355497,-0.109813650139896,-0.109482594557575,1,0.999807298183441
1,106,106,0.5,1,1,0.9,0,5,clean,525,529.99,11,0.405777269722226,0.405722409914468,0.0023342522047629,-0.0942227302777737,-0.094277590085532,1,0.999814331531525
1,107,107,0.6,1,1,0.9,0,5,clean,530,534.99,11,0.521669731764034,0.521753629577738,0.000225451349008025,-0.0783302682359659,-0.0782463704222617,1,0.999852657318115
1,108,108,0.7,1,1,0.9,0,5,clean,535,539.99,11,0.626602354869763,0.626607045773831,0.000143955744420974,-0.0733976451302368,-0.0733929542261691,1,0.999889254570007
1,109,109,0.8,1,1,0.9,0,5,clean,540,544.99,11,0.724457888139154,0.724211753928716,0.00151815931673075,-0.075542111860846,-0.0757882460712844,1,0.999911308288574
1,110,110,0.9,1,1,0.9,0,5,clean,545,549.99,11,0.818716793202004,0.818251782474981,0.00654100085439172,-0.0812832067979957,-0.0817482175250187,1,0.999937176704407
1,111,111,1,1,1,0.9,0,5,clean,550,554.99,11,0.930206878158622,0.929703481574424,0.00661261185484512,-0.0697931218413784,-0.0702965184255763,1,0.999963998794556
1,112,112,1.1,1,1,0.9,0,5,clean,555,559.99,11,1.03668216352142,1.03638986247126,0.00746099051728904,-0.0633178364785787,-0.0636101375287408,1,0.999982953071594
1,113,113,1.2,1,1,0.9,0,5,clean,560,564.99,11,1.13946775935024,1.13888397221567,0.0069575531279814,-0.0605322406497606,-0.0611160277843317,1,0.999993920326233
1,114,114,1.3,1,1,0.9,0,5,clean,565,569.99,11,1.21758249845356,1.21737222758725,0.00468282526186328,-0.0824175015464406,-0.0826277724127498,1,0.999997973442078
1,115,115,1.4,1,1,0.9,0,5,clean,570,574.99,11,1.30099959878693,1.30069198802297,0.00268473795185094,-0.0990004012130747,-0.0993080119770298,1,0.999999165534973
1,116,116,1.5,1,1,0.9,0,5,clean,575,579.99,11,1.38686884375403,1.386375905897,0.00126494640018758,-0.113131156245969,-0.113624094103,1,0.999999284744263
1,117,117,1.6,1,1,0.9,0,5,clean,580,584.99,11,1.47605009013836,1.47596259774356,0.000411722229654706,-0.123949909861641,-0.124037402256435,1,0.999996066093445
1,118,118,1.7,1,1,0.9,0,5,clean,585,589.99,11,1.56089448656485,1.56108371385117,0.000954954556694772,-0.139105513435154,-0.138916286148831,1,0.999831557273865
1,119,119,1.8,1,1,0.9,0,5,clean,590,594.99,11,1.67281588729538,1.67287432228028,0.00093752655116199,-0.127184112704621,-0.127125677719719,1,0.985420286655426
1,120,120,1.9,1,1,0.9,0,5,clean,595,599.99,11,1.78380998312438,1.78398714115597,0.00194196691544576,-0.116190016875623,-0.116012858844026,1,0.673066079616547
1,121,121,2,1,1,0.9,0,5,clean,600,604.99,11,1.89455829886496,1.8946311218762,0.000624649332109835,-0.10544170113504,-0.105368878123804,3,0.893438577651978
1,122,122,2.1,1,1,0.9,0,5,clean,605,609.99,11,2.01491284878634,2.01489189252412,0.0014987793882736,-0.0850871512136568,-0.0851081074758828,3,0.989051640033722
1,123,123,2.2,1,1,0.9,0,5,clean,610,614.99,11,2.15225664049449,2.15189539722239,0.00168657722299094,-0.0477433595055134,-0.0481046027776104,3,0.998350977897644
1,124,124,2.3,1,1,0.9,0,5,clean,615,619.99,11,2.27654580626462,2.2763873730414,0.00101230782335787,-0.0234541937353794,-0.0236126269585983,3,0.999516367912292
1,125,125,2.4,1,1,0.9,0,5,clean,620,624.99,11,2.38202078907913,2.38202853125379,0.001912927291746,-0.0179792109208692,-0.0179714687462136,3,0.999790489673615
1,126,126,2.5,1,1,0.9,0,5,clean,625,629.99,11,2.46933621988128,2.46955810400957,0.00172734493788124,-0.0306637801187191,-0.0304418959904256,3,0.999890446662903
1,127,127,2.6,1,1,0.9,0,5,clean,630,634.99,11,2.56452237648481,2.56467170925712,0.000728437724123059,-0.0354776235151864,-0.035328290742878,3,0.999925136566162
1,128,128,2.7,1,1,0.9,0,5,clean,635,639.99,11,2.65091018222031,2.65090016978391,9.89247676324155e-05,-0.0490898177796883,-0.0490998302160852,3,0.999938011169434
1,129,129,2.8,1,1,0.9,0,5,clean,640,644.99,11,2.73057217261405,2.7304703018949,0.00120321227182996,-0.0694278273859483,-0.0695296981051037,3,0.999937772750854
1,130,130,2.9,1,1,0.9,0,5,clean,645,649.99,11,2.8082241664011,2.80798311117366,0.000487178779913233,-0.0917758335988967,-0.0920168888263371,3,0.999931335449219
1,131,131,3,1,1,0.9,0,5,clean,650,654.99,11,2.87505820775991,2.8750915825479,0.00143854010443347,-0.124941792240088,-0.124908417452098,3,0.999927520751953
